,DeutscheMark (Euro)/Dollar,UK pound/Dollar,Swiss Franc/Dollar,Japanese Yen/Dollar
370-1a,0.584662687,0.868730292,0.628251338,0.629374463
371-1a,0.384704336,0.07075351,0.291741738,0.327256054
372-1a,0.586129071,0.480573021,0.609264886,0.696150238
373-1a,0.685619385,0.712906919,0.63522164,0.840003141
374-1a,0.737921113,0.597708254,0.844093608,0.875134536
375-1a,0.499507474,0.117873253,0.516811264,0.672160005
376-1a,0.677105242,0.708163022,0.795345495,0.908076733
377-1a,0.396298537,0.471096483,0.392843265,0.586621207
378-1a,0.42753838,0.50778349,0.490675572,0.287748989
379-1a,0.75213646,0.661664914,0.672616766,0.819932688
380-1a,0.503406899,0.467514138,0.500950164,0.692213338
381-1a,0.792473246,0.695823251,0.679222071,0.482213024
382-1a,0.015317534,0.012877256,0.019071783,0.007654165
383-1a,0.763282196,0.719186144,0.70565339,0.94440959
384-1a,0.988984353,0.990720442,0.987944026,0.985463386
385-1a,0.53661129,0.736272832,0.382248829,0.459847186
386-1a,0.426084544,0.394511629,0.275245035,0.201925399
387-1a,0.531560419,0.566418601,0.434709722,0.507195458
388-1a,0.33693566,0.275988718,0.422559154,0.124575382
389-1a,0.356775083,0.427879504,0.302200958,0.088220883
390-1a,0.599099116,0.751773044,0.598925168,0.710242989
391-1a,0.484543788,0.346073517,0.330573046,0.494918151
392-1a,0.64329842,0.613677849,0.694304407,0.697817858
393-1a,0.331166922,0.739058308,0.431315272,0.081837593
394-1a,0.709334189,0.658452945,0.546285092,0.693977677
395-1a,0.895852115,0.821288916,0.906696507,0.826266457
396-1a,0.943798757,0.843621117,0.938671343,0.803297604
397-1a,0.231448275,0.290918954,0.996601796,0.177919436
398-1a,0.614577267,0.640260114,0.005438381,0.723051707
399-1a,0.803355673,0.913134027,0.774615772,0.713389278
400-1a,0.584981967,0.311908123,0.510979673,0.260797274
401-1a,0.580213534,0.386730245,0.566069712,0.484550439
402-1a,0.409469095,0.193612149,0.383258437,0.515104886
403-1a,0.374141166,0.488198442,0.424472347,0.661569012
404-1a,0.101557274,0.147570706,0.201386844,0.036155886
405-1a,0.243297857,0.276333869,0.277769285,0.239219062
406-1a,0.007873735,0.015931056,0.018838944,0.003633998
407-1a,0.1260256,0.202754799,0.131281373,0.031200101
408-1a,0.625457133,0.75473365,0.531634408,0.607255206
409-1a,0.026553496,0.048516121,0.056922729,0.02305588
410-1a,0.609788536,0.585567169,0.346710304,0.326734771
411-1a,0.842092065,0.930791078,0.767935687,0.919518056
412-1a,0.413578216,0.478430509,0.478167469,0.355567064
413-1a,0.065107065,0.096031961,0.074969171,0.109930185
414-1a,0.578868586,0.364093919,0.639827719,0.578716986
415-1a,0.655768543,0.615749928,0.66489515,0.690075808
416-1a,0.32917223,0.108877714,0.422128635,0.243657865
417-1a,0.063505624,0.097809967,0.158895182,0.156571173
418-1a,0.374642971,0.383960442,0.383752375,0.697201314
419-1a,0.779466081,0.643957498,0.785505571,0.834566245
420-1a,0.182116982,0.140260097,0.325453012,0.311241354
421-1a,0.888159761,0.963719452,0.820848389,0.744584061
422-1a,0.608435438,0.468831354,0.47551684,0.674736435
423-1a,0.564768242,0.643871651,0.702399317,0.94163944
424-1a,0.876923408,0.830837434,0.891228875,0.805338819
425-1a,0.302495446,0.127782034,0.237174016,0.148250642
426-1a,0.608652882,0.535809433,0.677941165,0.639607289
427-1a,0.566274688,0.471946655,0.481064429,0.254037668
428-1a,0.181523574,0.144449036,0.183603424,0.177066488
429-1a,0.68419315,0.667029228,0.686334138,0.743568068
430-1a,0.881705313,0.869928934,0.757807064,0.894675274
431-1a,0.572195589,0.522838215,0.706772182,0.359731932
432-1a,0.350257673,0.579191967,0.344198854,0.282174401
433-1a,0.594465136,0.498916583,0.590529902,0.475323281
434-1a,0.776316629,0.648602176,0.679746776,0.787175295
435-1a,0.932411734,0.920079629,0.93769046,0.983905098
436-1a,0.70182746,0.674524141,0.762117509,0.555408814
437-1a,0.314256352,0.146328628,0.29654623,0.359606015
438-1a,0.709809387,0.95985147,0.817939599,0.728223933
439-1a,0.277794978,0.12378184,0.270393623,0.498875454
440-1a,0.232330182,0.226906292,0.303969165,0.481159527
441-1a,0.127576057,0.152178858,0.214545997,0.068388691
442-1a,0.092877818,0.163669697,0.067839347,0.043439755
443-1a,0.359905372,0.32365208,0.181377755,0.303234874
444-1a,0.920068881,0.843758166,0.852538964,0.616211881
445-1a,0.051967255,0.09041494,0.049770243,0.048091391
446-1a,0.304390592,0.305540064,0.269635205,0.40220533
447-1a,0.310048189,0.324469536,0.38363848,0.491782955
448-1a,0.015449657,0.02574614,0.083298876,0.193839718
449-1a,0.997564108,0.995854675,0.992295946,0.991432721
450-1a,0.71667153,0.700814759,0.818804993,0.667685677
451-1a,0.546938632,0.621232806,0.394614031,0.614447449
452-1a,0.003117618,0.002821411,0.002057864,0.005358192
453-1a,0.271880332,0.301240053,0.209556898,0.676519662
454-1a,0.090464063,0.10893429,0.086817117,0.134335896
455-1a,0.037705063,0.038502237,0.072443606,0.018958325
456-1a,0.40295998,0.764921685,0.591004968,0.373605684
457-1a,0.331166367,0.275721405,0.324145091,0.442361306
458-1a,0.065068921,0.091634901,0.065497785,0.099787131
459-1a,0.687345981,0.365165211,0.498837705,0.699998312
460-1a,0.127696568,0.196777819,0.157410003,0.209870443
461-1a,0.016372803,0.024717102,0.01050546,0.042873439
462-1a,0.330046014,0.309030732,0.390810192,0.524270303
463-1a,0.176493018,0.226115441,0.158938972,0.179256032
464-1a,0.606146579,0.728787014,0.482746743,0.666562064
465-1a,0.965608895,0.940891756,0.978038066,0.873810534
466-1a,0.606144061,0.427019725,0.512296018,0.597650136
467-1a,0.953441671,0.980035798,0.954994996,0.907673113
468-1a,0.053245784,0.04146639,0.041664097,0.071636006
469-1a,0.372064374,0.277571116,0.411520341,0.419605324
470-1a,0.392004657,0.312939317,0.345736428,0.441475253
471-1a,0.574947157,0.596785238,0.606124481,0.683878769
472-1a,0.19416793,0.245031269,0.241431012,0.170182349
473-1a,0.545564552,0.35097074,0.503539751,0.525745909
474-1a,0.396921474,0.372407209,0.480972606,0.512352867
475-1a,0.005558939,0.007684332,0.00574512,0.005257941
476-1a,0.904231161,0.908360861,0.882391715,0.878951748
477-1a,0.565583785,0.502521378,0.393111726,0.323975757
478-1a,0.739372653,0.752698035,0.742575574,0.373625988
479-1a,0.632278723,0.760025147,0.530884217,0.324088315
480-1a,0.833963547,0.745980575,0.806491331,0.785379193
481-1a,0.122697876,0.166025363,0.179555626,0.333707334
482-1a,0.460377853,0.369373971,0.475671906,0.346927697
483-1a,0.020973455,0.018393406,0.015561394,0.004206256
484-1a,0.396381115,0.450092044,0.387021131,0.157423848
485-1a,0.454722131,0.431704267,0.423301818,0.331403574
486-1a,0.599548537,0.784398436,0.612617078,0.353593599
